time,cell0,cell1,cell2,cell3,cell4,cell5,acc_x,acc_y,acc_z,roll,pitch,yaw,latitude,longitude,satellites,speed,rpm_bl,rpm_br,rpm_fl,rpm_fr,steering,throttle
72,2.331853542,2.686690708,2.589792785,3.923293714,3.776974706,2.855970482,1.977588165,5.762864909,2.0391513,0.735780849,5.140224073,2,34,34,1,34,1544,1620,574,440,1228,1890
72.5,2.424013547,3.465606701,2.074922226,3.718874338,2.480025948,2.52318715,4.16204382,0.359112855,4.556961886,5.067550056,4.643019257,-15,34,34,1,44,801,1679,1468,1321,1164,1794
73,2.005729265,3.00964636,2.887840767,2.393274231,2.220249441,2.096015214,4.828498542,5.595285722,2.216561511,3.008361391,1.57204794,125,34,34,0,10,620,246,116,1106,1845,1039
73.5,3.938286593,2.207912241,2.040054785,3.131521874,3.537587278,3.755634033,5.949455238,5.524607362,3.127130895,2.210212082,0.396778477,-38,34,34,0,25,1729,426,507,2002,1475,1145
74,2.2043621,2.293364794,3.881652939,3.812160618,2.616923619,2.846003565,4.947010676,0.596732562,3.698720169,4.273979558,0.285722908,177,34,34,1,40,477,953,1095,394,1287,1575
74.5,2.595198499,2.974934458,2.564922994,2.322236,3.86917661,3.604349339,2.36277532,2.724679198,3.844438441,2.980620186,4.691226691,-45,34,34,2,12,228,1456,2054,583,1195,1959
75,2.323184022,3.446692588,2.622356769,3.255933132,3.056603106,2.668236973,3.679454506,4.657174302,3.713208241,2.740549623,1.638994772,52,34,34,0,3,1352,1175,533,1203,1152,1276
75.5,2.810458705,2.512776708,3.714412177,2.275094537,2.427118531,3.577879975,5.399411326,4.199174215,2.107581162,3.760080268,5.730103285,-31,34,34,0,45,380,1612,1165,1163,1158,1690
76,2.018241033,2.780763119,2.291467188,3.941977548,2.502013451,2.107172319,2.172807105,4.52815715,0.875310787,5.094215077,4.169275257,-177,34,34,2,24,1915,1148,1468,28,1654,1475
76.5,3.310951502,3.463262042,2.206303608,3.281190907,2.879006298,3.15999714,0.440839501,2.43156137,1.628380734,0.830906544,1.361126647,-42,34,34,1,29,1595,2232,470,2108,1074,1471
77,2.627714134,2.578030399,2.896903916,2.559614699,3.634468772,3.707628165,0.675805932,2.792416657,0.684057504,1.597852209,0.56393957,90,34,34,0,44,2050,1073,2064,2005,1049,1467
77.5,2.285436012,2.769632053,3.531672486,2.682765207,3.66751511,2.371518758,0.142004594,2.724477644,5.363219479,3.681869001,4.863428256,160,34,34,2,7,697,938,1398,1595,1569,1752
78,2.842315034,3.326214733,2.665826597,3.172567875,2.824580093,3.086634358,3.319852449,2.615293352,1.817322155,5.03375059,3.853042191,161,34,34,2,8,1154,1769,1862,240,1761,1530
78.5,2.648074649,2.449298006,2.597360559,3.443059693,3.053509849,2.447442146,5.965004418,0.477365587,1.048284408,3.388374284,4.756736213,-105,34,34,1,20,1457,1380,110,957,1309,1017
79,3.731314226,3.000760496,3.48509694,3.895627167,2.758196118,2.584432988,5.731073984,2.843248424,5.034132826,1.578175239,4.995614482,151,34,34,1,8,1071,1232,1257,1464,1769,1873
79.5,2.5237271,3.260101379,2.756277492,3.368613509,3.02431359,3.819410392,4.648390587,0.479250662,5.024137025,2.15329457,3.439451684,99,34,34,1,8,1458,623,1719,1497,1543,1466
80,2.933188916,2.107076606,3.675447175,3.126712441,3.02615228,2.794896451,3.784351881,4.85307831,2.496830489,2.363719592,0.568037849,77,34,34,2,22,1347,1752,2366,183,1057,1008
80.5,3.64273867,3.167312943,3.251084363,3.606413642,2.520407084,2.013793412,5.933058958,5.852001902,5.30461027,1.058987301,0.449956129,-160,34,34,1,33,2077,2001,1052,771,1280,1372
81,3.801016018,2.68159178,2.555754895,2.283321947,2.141743175,3.941570701,4.492202621,2.152349708,5.053248621,1.600197899,5.151287904,139,34,34,1,21,390,59,1785,1983,1452,1796
81.5,3.497163459,3.194388153,2.42411076,2.526017688,2.26124278,3.450333302,3.711759972,2.032453828,2.067986713,4.535770007,2.015673976,-65,34,34,3,38,837,815,573,379,1175,1434
82,2.360986613,3.896239978,2.750232513,3.564961081,3.434634786,2.373426403,4.682157028,3.934043904,2.237268132,5.919884827,1.410957296,-135,34,34,3,31,2261,66,1248,2038,1653,1467
82.5,2.449791709,3.842551887,2.18417781,2.506410587,3.965412896,3.317083519,0.042048861,3.194297389,3.894407606,2.17714912,3.7631043,-15,34,34,1,17,2224,764,176,1090,1496,1728
83,2.538334612,3.948583154,3.664032408,3.524705378,2.492110132,2.087516468,5.688867341,1.265752694,2.546458596,2.819790484,1.420704232,-47,34,34,0,20,2249,1312,572,1176,1757,1733
83.5,2.237310378,2.422451963,3.066304208,2.365715847,3.518315878,2.908079595,3.380797457,4.164175731,0.553290377,3.342911854,5.832161421,135,34,34,3,37,1810,1513,2347,476,1096,1997
84,2.785263045,3.899110271,3.240102899,2.853593993,3.015208441,2.100201004,3.828070015,2.968153148,4.598945283,4.843514997,4.457300585,-158,34,34,3,9,1894,1141,1989,1833,1912,1228
84.5,2.801055562,2.837760542,2.313915397,3.871775767,3.670826254,2.367901808,0.766705244,0.541891535,1.076626126,4.233767677,1.62459797,97,34,34,1,40,411,244,956,691,1852,1754
85,3.624021514,2.920640722,3.919757352,3.282409605,3.546315912,2.325901652,2.953223231,5.958934763,5.66039991,4.478425557,1.488510031,-104,34,34,2,17,596,845,105,1722,1469,1469
85.5,2.10902878,2.597863299,2.327553685,3.285811185,2.006677792,2.554948,3.003308077,5.624527359,2.2860188,1.470812924,4.10705537,161,34,34,0,8,1360,863,1943,6,1315,1794
86,3.237255407,2.71687396,3.610599206,3.13536314,3.712454091,2.748133865,2.249033192,4.202198111,1.319498178,4.427780923,1.393528751,-82,34,34,3,23,1637,145,2022,78,1039,1299
86.5,3.191852273,3.251157857,3.270620121,3.533976654,3.886696381,2.554712804,5.52453144,4.821868078,3.837497382,3.888522126,5.750372148,-104,34,34,0,32,2050,1047,1567,1274,1322,1321
87,2.903677414,3.642349213,2.455439507,2.469391346,3.095027044,2.371185778,3.521335177,3.856827118,0.794856761,3.865424707,1.931709587,-137,34,34,0,16,2387,549,989,1999,1364,1645
87.5,2.371459875,2.063944406,2.441182938,2.835906313,2.053710586,3.002503158,1.850853894,0.604359575,5.744308637,4.183177841,5.573131434,-22,34,34,0,2,143,1157,878,2021,1684,1521
88,2.050408529,3.183863217,2.71415206,3.621181333,2.876428311,2.007822333,1.78343389,2.179304753,4.537894502,5.674284669,4.709260293,-9,34,34,2,40,2361,1744,1260,1841,1962,1427
88.5,2.49820717,3.50526501,3.405806751,3.934352003,2.790597087,3.617637679,2.346636181,1.007321161,0.400957821,0.101570573,5.21302855,173,34,34,2,31,2329,16,2239,1557,1167,1339
89,2.504507152,3.686621288,3.523218843,2.489700648,3.904500163,3.867823484,5.863177979,4.245529697,1.855076326,5.785041501,0.740348704,43,34,34,0,16,2069,1899,414,2043,1434,1881
89.5,3.699455724,2.22044601,2.061257529,3.343024483,3.734583132,3.256927109,5.302666495,0.516935825,5.527056743,1.483562237,5.578037389,-94,34,34,1,30,2038,1144,1983,2341,1469,1670
90,3.863521883,3.406967465,2.91973335,3.396391771,2.441140654,2.935690583,1.823529848,2.820597721,0.681986692,4.81002853,2.098854791,-178,34,34,0,9,1211,2192,1435,508,1099,1616
90.5,3.828125588,3.304590999,2.116676589,3.437754536,3.190703407,3.343943249,3.281945731,3.976574657,1.185275445,0.006194554,0.67381586,113,34,34,2,2,1440,579,619,1294,1982,1430
91,2.141748442,3.017846955,2.258082577,2.227443597,2.525513492,3.606365921,0.096570798,4.542835099,5.216594714,2.355288294,2.084422398,18,34,34,3,42,877,1391,2227,251,1815,1415
91.5,3.798651412,3.584076374,3.059667763,2.628373237,3.185581496,3.694330657,2.821183141,3.62262326,5.323525891,4.689310293,4.247105585,75,34,34,3,38,1600,752,861,310,1241,1155
92,2.211948206,3.636513497,3.190883885,3.129423254,3.42357089,2.269770981,4.151053968,1.305050928,2.694213974,1.530597211,5.63702785,3,34,34,2,2,2057,2387,2165,352,1882,1555
92.5,3.863719799,2.245654636,2.445556824,2.59748983,2.316568009,3.061730008,0.580741966,1.969487147,1.446646761,5.944320409,1.452221888,-156,34,34,1,27,1509,1356,1395,1039,1638,1773
93,3.364912259,2.651621261,2.864092112,2.919268294,2.731648743,3.780203172,5.024205067,1.786220468,3.930228626,1.381108111,2.052720154,-68,34,34,0,17,2151,1729,1029,158,1985,1520
93.5,3.644487992,2.954522069,2.853147612,3.59943455,2.340182703,3.717196791,5.920678749,2.69457705,4.499213156,1.666511061,5.847112608,57,34,34,3,43,521,1592,568,1894,1402,1108
94,2.26982315,2.151660374,3.801047929,3.273009572,3.519013376,2.456954298,5.336075204,3.833672432,0.645964459,3.365491818,4.501246059,-163,34,34,3,17,32,927,2332,2152,1941,1071
94.5,2.036624546,2.923250126,3.050804333,2.694814728,2.282752334,3.395054721,4.396584088,0.655989502,3.912782154,4.757265185,3.066514224,-43,34,34,3,9,756,1550,1142,250,1164,1120
95,2.313390018,3.559303304,2.286729856,3.562869366,2.927356375,2.810201818,1.416438641,3.394535253,2.218334084,5.149040763,2.121550148,-86,34,34,2,34,418,2183,53,1782,1490,1115
95.5,2.675316171,3.858546125,3.492008372,2.840338296,3.083224871,2.093410693,2.010306497,5.215445233,4.427829598,1.00184198,4.119806582,-67,34,34,1,31,60,2316,140,1841,1278,1132
96,2.009414572,2.299057381,2.948833882,3.099861732,2.785858049,3.0254302,5.539037701,1.797270068,0.612899455,5.205568795,1.542507347,0,34,34,0,4,5,596,1880,1733,1422,1874
96.5,2.42346486,3.907233089,3.350696168,2.396086756,2.534602002,2.754541333,1.351663235,0.520836838,4.141715416,3.23565289,2.704618145,143,34,34,0,37,1726,1400,959,1,1450,1590
97,3.688543835,3.778936328,3.601576719,3.268628553,2.639177061,2.133624937,5.50690193,5.451035288,1.8410776,5.082060359,5.692013661,-168,34,34,2,32,106,1172,1586,462,1992,1169
97.5,2.79991977,2.150542051,3.809853529,2.851570727,2.726845428,2.881809455,1.481594504,0.271556896,5.726205375,2.392111243,0.465105591,-179,34,34,0,1,82,1811,1878,2054,1970,1912
98,2.048524972,3.06168201,2.805082495,3.226858721,2.462922762,2.591292184,3.51625518,3.273243522,5.438042797,1.091991169,2.346532188,-63,34,34,2,45,2293,1289,1884,774,1446,1902
98.5,2.997521601,2.977930675,2.027655826,3.255964034,2.824506622,2.207333636,4.322485741,1.88914058,4.873079157,1.938749552,1.471435027,143,34,34,0,24,2134,1413,153,1277,1784,1182
99,2.474571966,3.055489628,2.035641976,3.899184901,2.293425497,3.939931768,1.630092544,5.202386343,1.920255556,2.403793989,5.554196029,-85,34,34,3,45,1575,2037,1744,1614,1788,1120
99.5,3.033997281,3.163958111,2.204050225,2.879768269,3.91043272,2.291001028,2.724804591,1.704465343,2.21304964,2.070108938,3.614586759,174,34,34,0,5,2370,1917,1723,1403,1068,1423
100,3.513560393,2.03828598,3.005987546,2.354818893,3.350570768,3.958532875,2.150133202,4.229784881,5.811451905,2.5805914,2.546704897,-11,34,34,1,1,662,1362,1990,964,1566,1819
100.5,2.583033507,2.704456478,3.158708254,3.21501504,3.335476272,3.981514136,1.878240036,0.055574552,1.489552536,1.023304177,1.51733154,49,34,34,1,30,567,1908,676,2246,1640,1734
101,3.801960017,2.582332525,3.746777547,3.751819059,2.87682704,3.844692113,2.344233062,2.618193196,5.200983631,3.044056645,4.67960465,-4,34,34,0,16,1279,807,1500,2054,1726,1185
101.5,2.27748003,2.296516973,3.128601098,3.642423201,3.52428451,3.084588639,4.52293982,3.078596713,2.460836856,2.696827609,3.569362694,-92,34,34,3,15,1301,987,162,2134,1720,1195
102,3.294114743,2.227960155,2.20306311,2.823213331,2.52275352,3.400594626,0.459706542,4.243885513,2.909274241,4.709593306,2.928038501,9,34,34,2,44,878,1315,1713,951,1170,1542
102.5,2.729763492,2.28147442,2.124222056,3.204277299,2.473669669,3.691444854,4.212363636,2.008538407,1.168573698,1.672747212,4.872866012,84,34,34,0,26,1880,880,731,927,1861,1376
103,3.244896514,2.431424714,3.948771663,2.006999456,3.47989052,3.206511151,4.818973278,1.945601828,4.338862221,1.794390702,5.538432611,38,34,34,0,1,425,1253,2029,1561,1449,1089
103.5,3.146606981,2.044262839,2.057791204,3.001899362,3.277303687,3.321374481,5.521178955,2.864296783,1.609542242,1.978588899,4.68589746,180,34,34,0,5,282,170,568,1451,1822,1220
104,2.740636306,2.553315771,2.07500278,3.741907967,2.059756194,3.363126687,5.484415091,4.006148542,5.846683163,0.670221664,4.123185304,118,34,34,2,0,279,115,2183,1446,1437,1113
104.5,2.623405645,2.748641562,2.363851252,2.306633022,2.206746388,2.47324315,2.241753207,1.737584987,4.117086509,2.840468066,4.831295369,3,34,34,0,17,892,1411,2227,1482,1962,1513
105,2.902040604,3.892159542,3.266557984,3.978594675,3.155824896,3.329985836,0.873567901,2.019837516,0.42366659,0.884727729,0.435549042,54,34,34,3,42,1321,50,1770,1014,1594,1156
105.5,3.677588635,3.048410629,3.037162492,2.069605906,3.152983335,3.73847715,1.457653631,2.090765959,1.098255725,3.716439602,1.254038548,165,34,34,2,19,831,1171,1500,1492,1564,1646
106,3.480182793,2.383202694,3.702313903,2.33524723,3.901984345,2.949706784,1.992870784,4.50674283,5.385689692,3.318605049,4.954644144,114,34,34,2,12,884,812,278,355,1708,1134
106.5,3.534485513,3.006088265,3.188840432,2.369009057,3.438227496,3.157972705,5.896592781,5.657265715,5.906918125,1.211593681,4.357741252,-147,34,34,1,10,2092,2252,230,813,1542,1693
107,3.762830554,3.444887001,2.453721501,2.251357159,3.60409791,2.157794916,2.164543013,1.547124645,3.99219982,2.809072829,2.595242523,61,34,34,1,41,1873,1829,1922,1538,1140,1159
107.5,2.386652388,3.653404343,2.519817793,2.675677088,2.089788275,3.51046912,5.154278558,1.333966055,1.69607141,4.887126994,0.832873289,-129,34,34,0,7,138,289,315,1877,1483,1683
108,3.341832851,3.959790086,3.031683726,3.543008889,2.500974092,2.119353826,1.429072783,0.573727613,0.704751364,0.372854519,0.508635804,-129,34,34,1,44,2177,993,450,1929,1188,1133
108.5,3.023358166,3.937946226,3.801086306,3.84265686,3.585524608,3.683267283,3.223405883,4.325817524,0.302623626,2.703487768,2.732817662,-6,34,34,0,17,1679,839,2111,1024,1446,1332
109,2.346038484,2.020895396,3.305097851,2.252642821,3.583494325,3.619523269,1.520470858,1.458857379,1.893909867,2.246082565,5.619029023,-6,34,34,1,18,2070,577,633,824,1339,1931
109.5,2.076005511,3.412846258,2.445775538,3.390876338,3.441593623,3.836954798,2.900742166,3.412996247,0.403931677,4.144390441,1.430766354,75,34,34,0,4,1001,1422,2006,1989,1507,1454
110,2.234969493,3.68098181,2.000951594,3.784127571,3.614991321,2.03899465,1.690600266,4.288944178,5.510433896,1.404392984,4.514814787,102,34,34,2,39,1488,118,747,78,1825,1606
110.5,3.321053825,2.760190377,2.441927972,3.746883642,3.582745057,2.014860474,5.484628878,3.68193411,2.522580444,3.236303,5.053455788,-48,34,34,1,33,1600,1866,129,2300,1159,1316
111,3.556468356,2.569145984,2.720452129,3.994140515,3.248204621,2.888573539,1.573181233,5.686519452,0.441829207,1.724685915,3.974730666,102,34,34,2,21,1926,1012,393,47,1055,1698
111.5,3.496764119,2.98719755,2.959122004,2.505752832,2.997515741,2.027870707,4.082194516,2.356969942,0.941207471,4.362983003,1.852180998,-72,34,34,1,15,520,1471,308,1060,1620,1397
112,3.910859878,2.497272562,2.05845967,2.303389494,2.790139116,3.618468155,1.759356249,4.834242397,4.604853568,3.928895606,1.579444569,87,34,34,2,38,2283,1644,2229,213,1274,1651
112.5,3.088546644,2.991116538,2.441746463,3.645355934,2.026927333,3.375673791,0.571858261,3.660652982,4.988735743,2.600198896,0.201540984,-148,34,34,1,2,2064,1697,1728,1467,1398,1218
113,2.664181014,2.716347921,3.710672877,3.182089275,3.098288088,3.926850743,3.432184442,5.797734092,2.266778291,4.429847345,2.425937044,34,34,34,1,17,2319,575,2201,1633,1845,1581
113.5,2.017728587,3.156388648,2.828832856,2.857115126,3.469776778,3.726940121,0.297664986,1.323175484,0.099423248,4.83374623,3.188910462,-81,34,34,1,28,1369,2254,2098,1116,1764,1503
114,3.184984581,3.700611351,3.353571791,3.564142438,3.048689492,3.765966052,0.167583853,5.284599027,3.604177948,0.826562144,3.050970827,-158,34,34,0,17,1940,1592,831,58,1716,1815
114.5,3.73005106,3.265072247,3.853612546,3.183615707,2.558947335,2.770007749,5.104976422,4.495590133,2.566842296,5.131990596,4.922959701,166,34,34,2,26,765,2222,1489,156,1485,1149
115,2.07613604,2.153500425,2.503453153,2.046428761,3.687151176,2.802555713,4.854103177,3.724481829,2.686833501,4.026360204,5.960937305,49,34,34,1,36,441,1169,2113,1607,1785,1583
115.5,2.367802148,2.807196225,3.766563806,3.240494792,2.063056499,3.966592157,1.796945098,3.479717212,2.028250884,5.626131937,4.905296258,80,34,34,1,8,225,120,2157,1038,1036,1743
116,3.401891811,2.083027254,2.924223264,3.238332966,3.912075404,3.17510814,4.363825033,4.262029437,4.570905381,0.522799626,0.644926689,41,34,34,3,10,1037,660,1917,327,1917,1758
116.5,3.60089945,2.425037013,3.521433589,2.563963056,3.361114171,2.63661,2.075147632,0.274567318,5.663843539,2.439002451,1.69637465,-71,34,34,0,22,787,718,1052,2335,1194,1856
117,3.701817487,2.199449776,2.19898504,2.377576862,3.075859592,2.382846975,2.673924724,2.8927007,5.646350609,5.9176184,2.658486559,160,34,34,0,7,119,2255,1111,1177,1770,1355
117.5,2.345120931,3.529896882,3.729097237,3.741622017,2.927097241,3.778818092,3.427581202,2.64735908,1.504913172,3.942602646,2.379938734,96,34,34,0,16,1481,317,1672,628,1579,1622
118,2.241889489,2.312234672,2.534778195,2.745941464,2.478380929,2.26675043,2.863967446,5.878491215,0.839406875,4.369781939,2.085730055,81,34,34,3,44,994,1330,1246,714,1947,1048
118.5,2.056340087,2.700810192,2.724784863,3.533086767,2.368935488,2.420382429,4.150282363,4.579977305,2.274692044,3.398506207,4.635551555,139,34,34,2,30,8,431,506,376,1979,1303
119,3.826867249,2.803973662,2.233936048,3.64080481,3.978663142,3.932827606,2.917590736,0.000772106,0.538370257,2.597014346,4.983722739,-13,34,34,3,34,1419,347,2367,1684,1596,1080
119.5,3.479290532,3.724751432,2.93044905,2.532379335,2.70900576,2.343583688,1.533920701,5.065552566,3.717409622,1.490288076,0.444086985,26,34,34,3,32,1132,1821,186,1818,1290,1879
120,2.28198085,3.519045192,3.820477075,3.890903614,2.485738903,3.378249068,5.094393623,5.248963484,3.101662891,2.326479308,1.921580079,-27,34,34,0,43,2004,2319,1564,593,1741,1087
120.5,2.423441516,2.00201533,2.130344976,3.105375317,3.815136363,2.371312013,4.73144253,5.404802443,2.931037935,5.759155894,4.07704914,-169,34,34,1,0,2400,1149,1686,1920,1105,1025
121,3.593433555,2.834371818,3.180269379,2.995780308,3.1291339,2.739981741,5.864008244,5.725505552,4.890452406,5.855340191,5.778301209,47,34,34,0,3,372,1665,1936,286,1464,1005
121.5,3.161839407,2.768318523,2.468350099,3.48428626,3.610236785,3.114812586,4.280140099,4.578504089,1.260022962,1.443239445,1.591101484,-96,34,34,3,16,1400,882,2143,1454,1038,1235
122,2.5547817,2.259517271,2.988380398,3.751556229,3.044975086,2.513561896,4.616542145,4.852785322,5.56480781,5.723454701,1.021200172,178,34,34,0,45,1960,1573,1928,702,1768,1366
122.5,2.273123789,2.32004435,3.081702809,2.242534493,3.663700654,3.75290019,2.074289778,1.586045346,0.522445325,5.152117728,5.364902523,-6,34,34,1,16,2199,1804,70,1814,1078,1008
123,3.254085041,3.066598793,3.042298697,2.823452793,3.368334603,2.096080466,2.164815099,3.205281607,2.309932941,5.258926606,0.930571277,-176,34,34,1,3,1619,578,1082,1271,1668,1714
123.5,2.479596711,2.492423525,3.882331422,2.665655307,3.180440129,3.903962466,1.837263538,3.701535523,1.930199821,0.40675954,2.359073242,153,34,34,1,8,1134,1572,197,1251,1342,1260
124,2.714801401,2.968110093,2.497001699,2.65240305,3.623934788,2.819673814,5.330753481,2.536733529,5.330344121,2.025566526,0.124717271,138,34,34,1,6,2095,171,993,1959,1656,1629
124.5,2.223967858,3.147468572,2.487200658,2.188108383,3.514305417,2.476610099,0.949933735,0.181470417,0.263127093,5.690116642,2.229955417,93,34,34,0,42,444,1319,73,1788,1473,1981
125,2.724377043,3.867806862,2.099579496,2.778074245,2.793091706,2.649247166,0.6212627,5.006678369,0.845162678,0.091065337,1.753897086,-163,34,34,1,23,328,792,1697,68,1754,1822
125.5,2.866915588,2.391753323,3.871575117,3.681170539,2.492437549,3.371810053,0.963304046,0.366068056,4.302937358,2.414977857,0.887444894,48,34,34,0,40,939,285,1177,1498,1360,1640
126,3.243598073,2.357951681,2.356217812,2.357296573,2.578128987,3.129061021,4.715823739,4.980985519,1.565646245,4.689452927,1.168463519,95,34,34,2,31,449,2105,1294,753,1040,1941
126.5,2.992610727,3.644035135,3.901794351,2.117874457,2.76285653,3.079026537,1.361063695,2.381765236,0.330805264,5.541117379,0.660991345,-110,34,34,0,8,688,481,1721,615,1502,1775
127,2.410660253,3.621316184,2.838185206,2.675016192,3.157365184,2.146996425,5.379225904,4.326989062,1.561808721,3.453862521,0.085498201,-147,34,34,2,42,1453,1476,2216,1491,1606,1112
127.5,2.54752319,3.371287359,3.905336426,3.384788491,3.234415285,3.935080355,3.49669849,3.003374821,5.094901877,0.067168718,5.367223659,84,34,34,3,24,1305,685,345,1086,1155,1456
128,3.985336741,2.11385428,2.492060019,2.669891327,3.259247178,3.077993611,3.267792415,2.432969457,2.037119895,2.214480289,5.083145547,-8,34,34,2,14,1880,588,2080,2048,1200,1872
128.5,2.99522439,2.719826481,2.195749605,2.075591242,2.693940152,2.092778731,0.231481395,1.713105236,3.364535308,0.555471211,3.533962956,65,34,34,0,34,54,1165,1758,1422,1452,1837
129,2.419797872,3.917718981,2.072080903,3.097414019,2.942254935,2.052100519,2.295171432,2.091608266,4.986397365,1.689556022,2.750204063,24,34,34,3,43,995,1966,669,421,1563,1795
129.5,2.976402655,2.685650132,2.66893583,2.583962611,3.17015343,3.821468773,2.723018384,5.259232386,4.378134344,0.793566682,2.586342611,-95,34,34,2,26,1434,2135,835,1129,1099,1280
130,2.150650574,2.566158017,3.357431538,3.265153461,2.35180764,2.919932811,4.462178335,1.158680488,2.392718254,2.03737414,3.878359649,81,34,34,0,7,975,189,1152,85,1145,1960
130.5,3.561916263,3.757064564,2.479130257,3.181926703,3.387874057,2.842501882,2.142138242,3.96250683,0.003600469,3.494328212,1.593644038,22,34,34,2,22,282,153,1629,1699,1100,1069
131,3.748796924,3.363304609,3.494293072,3.969209842,3.262165863,3.519998994,0.57694504,0.412844366,4.416830392,4.292266627,4.647440949,-15,34,34,2,0,1741,580,1660,2204,1075,1192
131.5,2.019796529,2.962227249,2.446701237,3.455612813,3.59069866,2.908843213,1.822984269,1.604478966,1.936444053,3.054765538,4.62707613,-89,34,34,1,37,1955,1957,1342,526,1110,1449
132,3.867615708,2.187681532,3.400901161,3.792178995,2.971453088,2.42136974,1.218760007,4.433570796,3.406198184,0.027391392,2.639888288,84,34,34,2,5,1274,2371,1354,1187,1995,1865
132.5,2.652575083,3.183714746,2.775971066,3.769353699,3.854534039,3.132757127,1.354404277,0.476349545,1.152429922,0.271067704,3.10007331,106,34,34,3,31,286,1754,740,2312,1153,1295
133,2.74658767,3.233169082,3.687124636,3.2272965,2.649776714,2.649456046,1.879581682,4.712749679,3.461630181,2.859353603,0.695805563,35,34,34,1,27,1271,2269,517,301,1896,1086
133.5,3.736460898,2.79404662,2.758647072,3.763281345,2.305465559,2.196339653,2.772188368,4.374235796,2.64944029,3.324231606,5.064011373,-40,34,34,2,8,1249,1102,971,958,1240,1292
134,2.890302675,3.840555714,2.595383763,2.705842915,2.308181964,2.615078083,0.825541999,2.647439141,2.202608246,1.473571626,4.368009162,51,34,34,1,44,947,1266,319,855,1850,1976
134.5,3.221931141,2.424558244,3.757719575,3.299605659,2.452241337,3.191479454,1.564519322,1.824129427,3.086369679,1.884905377,2.591469011,177,34,34,3,43,800,354,1263,2193,1602,1897
135,2.345045271,3.234427183,3.070511699,2.678812099,2.655831191,3.44450384,0.133212859,1.890652505,1.046397683,5.774569947,4.392509841,96,34,34,1,38,1795,523,1169,1058,1836,1977
135.5,3.586519909,3.683027681,2.031099657,2.19833327,3.609659584,3.755571762,4.475478088,1.911852622,2.925299526,3.920002066,2.401870948,-161,34,34,1,13,1800,1765,2001,462,1819,1606
136,2.443514155,2.953214856,3.059239581,2.803183332,2.540175359,3.647006673,5.648944644,5.792823712,5.947063537,0.312283628,0.424138264,173,34,34,1,6,2196,1328,85,862,1929,1755
136.5,2.824371078,2.238722477,3.812771461,2.55019172,2.002500303,2.695602518,5.506034541,1.76649928,2.897970553,4.877892839,0.132744448,-24,34,34,3,9,915,1414,311,1252,1498,1909
137,3.170463228,3.090146211,2.774408194,3.057308785,2.406482574,2.448919364,5.956412689,5.420739672,3.011238448,2.647063576,4.286102939,148,34,34,0,21,770,2221,1455,123,1440,1957
137.5,2.71933511,3.75689949,2.351496094,2.217860221,2.686925197,2.60335955,3.47960707,3.130984209,5.864921315,0.628842222,1.689656049,-64,34,34,0,30,938,770,1328,426,1118,1099
138,2.940002539,2.653183382,3.613179471,3.948112188,2.385679751,2.779938294,1.53728417,2.327557434,0.377739334,0.272909549,4.707316173,-46,34,34,3,43,1135,1573,2295,1247,1962,1647
138.5,2.713264441,2.471008991,3.257871437,3.002380477,3.1224351,3.895170407,1.594972895,4.305501894,1.393385582,2.271618839,2.126228297,-67,34,34,3,18,202,1293,180,447,1600,1344
139,3.309108347,2.462741975,2.531537238,3.600946636,3.777567778,2.543621921,4.627355975,0.577815559,5.224002842,3.326791802,0.86563413,-29,34,34,3,5,384,1057,478,25,1041,1417
139.5,2.898224788,2.675977289,2.00913156,3.437846909,2.354188139,2.830306019,4.566441433,1.596166568,2.314126722,0.050580866,2.830361415,-176,34,34,2,0,1823,612,1576,1975,1303,1345
140,2.66832796,3.562233765,3.975399375,3.144267855,2.421113391,3.620140586,4.687337589,4.875138366,5.839499836,3.272371209,4.202095863,44,34,34,1,31,51,1333,460,2246,1531,1905
140.5,3.211392072,2.397675603,2.815690537,2.813487199,2.68136864,3.76417118,4.485976436,3.759412218,1.521022798,3.239046232,3.029071072,-150,34,34,3,42,239,542,835,1479,1863,1544
141,3.110919498,2.15148918,3.143131331,2.7611904,2.138953671,3.602506823,5.897741791,4.110009847,2.126515783,4.168048997,1.85737222,-138,34,34,2,44,487,1915,2081,2155,1075,1303
141.5,2.240918613,3.774823727,2.834128646,3.943255912,3.094858755,3.714372703,1.743725967,5.884334472,3.179551282,3.399641682,1.076121627,96,34,34,3,6,821,1134,456,486,1402,1447
142,2.2582773,2.910097998,3.515209783,2.258814597,2.637118735,3.389190353,1.475302626,4.147339141,4.743886615,1.933437221,4.286216659,-170,34,34,1,34,2251,868,1525,1959,1196,1867
142.5,2.13434298,2.016405866,2.955036871,3.777475496,2.298053892,2.187360871,4.033789901,3.089470966,4.051965383,2.604331241,2.108381138,-73,34,34,2,30,1383,2062,2247,1156,1212,1714
143,3.188527006,2.898593172,2.495508856,2.229147261,3.072405047,3.930463254,3.839952567,5.397545968,4.143170192,0.152820041,3.594218609,-139,34,34,3,12,2284,1555,1519,2019,1468,1683
143.5,2.369609137,3.668868067,3.649302418,3.337593637,3.576484579,2.179565495,4.286880399,4.982283789,5.275067983,3.553590815,5.346673738,155,34,34,3,36,505,932,2218,932,1322,1747
